ID~Subject~Corralated Id
1~Μαθηματική Ανάλυση~1
2~Γραμμική Άλγεβρα~2
3~Εισαγωγή στην Επιστήμη των Υπολογιστών~3
4~Προγραμματισμός Υπολογιστών~4
5~Σχεδίαση και Ανάλυση Αλγορίθμων~7
6~Φυσική~6
7~Διακριτά Μαθηματικά~5
8~Πιθανότητες και Στατιστική~8
9~Δομές Δεδομένων~15
10~Αντικειμενοστρεφής Προγραμματισμός~10
11~Ψηφιακή Σχεδίαση~11
12~Θεωρία Κυκλωμάτων~12
13~Αλγόριθμοι και Πολυπλοκότητα~13
14~Ηλεκτρονική~14
15~Βάσεις Δεδομένων Ι~19
16~Δίκτυα Υπολογιστών Ι~16
17~Λειτουργικά Συστήματα Ι~17
18~Αρχιτεκτονική Υπολογιστών ~18
19~Βάσεις Δεδομένων ΙΙ~26
20~Λειτουργικά Συστήματα ΙΙ~21
21~Δίκτυα Υπολογιστών ΙΙ~20
22~Σχεδίαση Ψηφιακών Συστημάτων~23
23~Μεθοδολογίες Ανάπτυξης Εφαρμογών~22
24~Σήματα και Συστήματα~24
25~Τεχνητή Νοημοσύνη~29
26~Ανάλυση και Σχεδιασμός Πληροφοριακών Συστημάτων~28
27~Τεχνολογία Λογισμικού~32
28~Εισαγωγή στον Παράλληλο Υπολογισμό~31
29~Δικτυακός Προγραμματισμός~27
30~Αλληλεπίδραση Ανθρώπου - Υπολογιστή~46
31~Τεχνολογία Υπολογιστικών Συστημάτων ~38
32~Ψηφιακή Επεξεργασία Σήματος ~30
34~Ψηφιακές Επικοινωνίες~37
35~Ασφάλεια στην Τεχνολογία της Πληροφορίας~33
36~Μεταγλωττιστές~34
37~Σχεδιασμός και Ανάπτυξη Πληροφοριακών Συστημάτων~40
38~Ανάκτηση Πληροφορίας~41
39~Προηγμένη Αρχιτεκτονική Υπολογιστών~49
40~Μικροελεγκτές~
41~Διαχείριση και Ασφάλεια Δικτύων~
42~Προηγμένες Δικτυακές Τεχνολογίες~44
44~Γλωσσική Ανάλυση και Διαχείριση Πληροφορίας~
45~Εξόρυξη Δεδομένων~55
46~Ευφυή Συστήματα & Συστήματα Λήψης Αποδάσεων~66
47~Γραφικά Υπολογιστών~47
48~Πληροφοριακά Συστήματα Διοίκησης~59
49~Τεχνητή Όραση~
50~Ηλεκτρονικό Εμπόριο - Επιχειρηματικότητα~68
51~Επιχειρησιακή Έρευνα~57
54~Προγραμματισμός Πυρήνα Συστημάτων~
55~Ψηφιακός Έλεγχος Συστημάτων~85
56~Σχεδίαση Ολοκληρωμένων Κυκλωμάτων VLSI~79
57~Παράλληλα Συστήματα~77
58~Ρομποτική~78
59~Μηχατρονική~82
62~Δίκτυα Κινητών Επικοινωνιών~50
63~Ασύρματα Δίκτυα Αισθητήρων~92
64~Τεχνολογία και Προγραμματισμός Κινητών Συσκευών~96
65~Βελτιστοποίηση~87
66~Πολυμέσα και Πολυμεσικές Επικοινωνίες~95
69~Νευρωνικά Δίκτυα~71
70~Ποιότητα και Αξιοπιστία Λογισμικού~61
71~Σχεδιασμός Παιχνιδιών και Εφαρμογών Εικονικής και Επαυξημένης Πραγματικότητας~73
72~Θεωρία Παιγνίων και Εφαρμογές~70
73~Επεξεργασία Εικόνας~56
76~Ασφάλεια και Αξιοπιστία Υλικού~81
77~Μικροηλεκτρονική~35
78~Αυτόματος Έλεγχος Συστημάτων~48
79~Ενσωματωμένα Συστήματα~75
82~Κατανεμημένα Συστήματα~36
83~Δίκτυα Οπτικών Επικοινωνιών~90
84~Ευρυζωνικά Δίκτυα~94
85~Εκπαιδευτική Τεχνολογία και Διδακτική της Πληροφορικής~99
86~Διαχείριση Έργων Πληροφορικής~97
87~Πληροφορική και Κοινωνία - Τεχνική της Έκφρασης ~101
88~Δίκαιο και Κυβερνοηθική~98
